Unnamed: 0	Origine	Taille	Type	Sinistre	NbSinistre	Marital	Enfant	Sexe	Age	Region
125	1	1	1.0	1.0	0	4	0.0	1	60.0	2
126	1	2	1.0	1.0	0	2	1.0	1	62.0	1
127	1	1	1.0	1.0	0	4	0.0	2	95.0	3
128	2	1	2.0	1.0	0	3	0.0	1	24.0	2
129	1	3	3.0	1.0	0	1	2.0	2	57.0	2
130	3	2	2.0	1.0	0	1	1.0	2	59.0	2
131	2	2	2.0	1.0	0	3	0.0	2	77.0	1
132	2	2	2.0	1.0	0	3	0.0	1	47.0	1
133	2	1	2.0	1.0	0	4	0.0	2	90.0	1
134	1	2	1.0	1.0	0	2	1.0	2	79.0	3
135	3	2	1.0	1.0	0	4	0.0	2	33.0	1
136	1	3	3.0	1.0	0	3	0.0	1		3
137	1	3	1.0	1.0	0	2	1.0	1	23.0	2
138	2	1	3.0	2.0	3	4	0.0	1	95.0	2
139	2	1	3.0	1.0	0	2	1.0	2	51.0	1
140	1	1	1.0	1.0	0	2	1.0	2	27.0	3
141	2	2	1.0	1.0	0	4	0.0	2	55.0	1
142	1	3	3.0	1.0	0	4	0.0	2	44.0	3
143	1	2	1.0	2.0	3	1	1.0	2	29.0	1
144	1	2	1.0	2.0	3	2	1.0	2	38.0	1
145	1	2	1.0	1.0	0	4	1.0	2	70.0	1
146	2	1	2.0	1.0	0	3	0.0	2	87.0	2
147	3	3	1.0	1.0	0	2	1.0	2	36.0	1
148	2	2	2.0	1.0	0	3	0.0	1	65.0	2
149	1	3	1.0	1.0	0	2	2.0	1	93.0	1
150	2	1	2.0	1.0	0	3	0.0	2	39.0	2
151	2	1		1.0	0	2	1.0	1	91.0	2
152	2	1	2.0	1.0	0	3	0.0	1	59.0	3
153	2	1	2.0	1.0	0	3	0.0	1	41.0	1
154	3	1	1.0	2.0	4	4	0.0	2	34.0	2
155	2	2	3.0	1.0	0	2	1.0	1	65.0	1
156	1	2	1.0	1.0	0	2	1.0	1	33.0	3
157	2	1	1.0	2.0	4	1	3.0	1	21.0	2
158	2	2	2.0	1.0	0	2	1.0	2	65.0	3
159	1	3	1.0	1.0	0	2	1.0	2	74.0	1
160	2	2	1.0	1.0	0	4	0.0	2	45.0	2
161	2	2	2.0	2.0	4	3	0.0	1	42.0	3
162	3	1	2.0	1.0	0	4	0.0	2	41.0	2
163	2	1	3.0	1.0	0	2	2.0	1	90.0	1
164	1	3	1.0	1.0	0	2	1.0	2	73.0	1
165	1	2	1.0	1.0	0	2	2.0	2	75.0	2
166	1	1	3.0	1.0	0	2	2.0	2	75.0	2
167	1	2	2.0	1.0	0	4	0.0	2	47.0	2
168	1	3	1.0	1.0	0	2	2.0	1	42.0	2
169	1	2	1.0	2.0	2	1	2.0	2	48.0	3
170	1	2	1.0	1.0	0	2	1.0	2	90.0	1
171	2	1	2.0	2.0	2	3	23.0	2	86.0	2
172	1	3	1.0	1.0	0	2	2.0	1	39.0	2
173	1	2	1.0	1.0	0	4	0.0	2	69.0	2
174	2	1	2.0	2.0	2	3	0.0	1	45.0	2
175	2	2	3.0	1.0	0	4	0.0	1	43.0	1
176	2	1	1.0	1.0	0	2	1.0	2	82.0	2
177	1	2	1.0	1.0	0	3	0.0	2	36.0	3
178	2	2	3.0	1.0	0	2	1.0	1	23.0	1
179	1	3	1.0	1.0	0	2		1	25.0	1
180	2	1	1.0	1.0	0	3	0.0	2	53.0	2
181	2	1	2.0	1.0	0	3	0.0	1	39.0	2
182	2	1	1.0	1.0	0	4	0.0	2	63.0	2
183	1	3	3.0	1.0	0	2	2.0	2	20.0	3
184	2	3	1.0	1.0	0	2	2.0	1	79.0	1
185	2	1	3.0	1.0	0	2	1.0	2	61.0	1
186	1	1	2.0	1.0	0	3	0.0	1	34.0	2
187	3	1	2.0	1.0	0	4	0.0	1	35.0	1
188	2	1	1.0	1.0	0	2	2.0	1	52.0	1
189	1	2	1.0	1.0	0	4	0.0	2	53.0	2
190	1	1	1.0	2.0	2	4	0.0	2	62.0	1
191	3	1	2.0	1.0	0	3	0.0	1	87.0	2
192	1	1	1.0		0	2	2.0	1	20.0	2
193	2	1	2.0	1.0	0	3	0.0	1	44.0	1
194	2	2	1.0	1.0	0	4	0.0	2	68.0	2
195	2	1	3.0	2.0	2	3	0.0	1	31.0	3
196	2	2	1.0	2.0	2	1	1.0	2	43.0	2
197	2	1	2.0	1.0	0	4	0.0	1	66.0	1
198	1	2	1.0	1.0	0	1	1.0	2	94.0	1
199	2	1		2.0	2	3	0.0	2	28.0	3
200	2	1	1.0	1.0	0	3	0.0	1	87.0	2
201	2	2	2.0	2.0	2	3	0.0	1	94.0	1
202	1	2	1.0	1.0	0	2	1.0	1	22.0	1
203	2	1	2.0	2.0	2	3	0.0	1	24.0	3
204	2	2	1.0	2.0	2	2	3.0	2	74.0	3
205	2	2	1.0		0	2	2.0	1	25.0	2
206	2	2	1.0	1.0	0	2	1.0	2	41.0	2
207	1	2	1.0	1.0	0	4	0.0	2	60.0	1
208	2	1	3.0	1.0	0	2	1.0	1	80.0	2
209	2	2	1.0	1.0	0	3	0.0	2	56.0	1
210	1	2	1.0	2.0	2	4	0.0	1	52.0	2
211	1	1	3.0	2.0	2	3	0.0	1	93.0	2
212	2	2	2.0	1.0	0	3	0.0	2	65.0	2
213	3	2	1.0	1.0	0	3	0.0	2	34.0	2
214	2	1	2.0	2.0	1	3	0.0	1	85.0	2
215	2	1	1.0	2.0	1	4	0.0	1	74.0	3
216	2	1	2.0	1.0	0	4	0.0	2	92.0	2
217	2	2	1.0	1.0	0	4	0.0	1	62.0	1
218	1	2	1.0	1.0	0	4	0.0	1	42.0	1
219	2	1	2.0	2.0	1	3	0.0	1	22.0	2
220	2	1	1.0	2.0	1	3	0.0	2	50.0	1
221	2	2	1.0	1.0	0	2	1.0	1	22.0	3
222	1	2	1.0	2.0	1	3	0.0	1	81.0	2
223	1	1	1.0	1.0	0	2	2.0	1	91.0	3
224	2	1	2.0	1.0	0	2	1.0	1	54.0	3
225	1	1	2.0	2.0	1	4	0.0	1	75.0	2
226	2	1	1.0	1.0	0	2	1.0	2	33.0	1
227	2	1	2.0	2.0	1	1	1.0	2	58.0	1
228	1	2	1.0	1.0	0	2	2.0	1	94.0	1
229	1	1	1.0	1.0	0	2	3.0	1	55.0	1
230	2	1	3.0	2.0	1	3	0.0	1	75.0	1
231	1	3	1.0	2.0	1	3	0.0	1	37.0	1
232	1	2	1.0	1.0	0	2	2.0	2	65.0	1
233	2	1	1.0	1.0	0	4	0.0	2	89.0	2
234	2	2	1.0	2.0	1	3	0.0	2	91.0	3
235	2	2	1.0	2.0	3	3		1	32.0	1
236	2	1	2.0	2.0	3	3	0.0	2	63.0	2
237	2	1	2.0	2.0	3	3	0.0	2	67.0	2
238	3	1	2.0	1.0	0	3	0.0	1	51.0	1
239	2	1	2.0	2.0	3	4	0.0	1	45.0	2
240	2	1	1.0	2.0	1	3	0.0	1	75.0	3
241	1	2	1.0	1.0	0	2	2.0	2	77.0	3
242	1	1	1.0	1.0	0	2	2.0	2	22.0	1
243	1	2	2.0	2.0	1	3	0.0	2		3
244	2	1	2.0	1.0	0	4	0.0	2	70.0	2
245	1	2	2.0	2.0	1	4	0.0	1	74.0	1
246	1	3	1.0	1.0	0	4	0.0	2	68.0	2
247	1	2	1.0	1.0	0	2	2.0	1	47.0	3
248	2	1	2.0	1.0	0	3	0.0	1	93.0	3
249	1	3	1.0	1.0	0	3	0.0	1	56.0	2
250	1	2	3.0	1.0	0	2	2.0	1	64.0	3
251	2	1	1.0	1.0	0	4	0.0	1	39.0	3
252	1	3	1.0	1.0	0	3	0.0	1	45.0	1
253	2	2	1.0	1.0	0	2	2.0	1	45.0	1
254	1	3	2.0	1.0	0	3	0.0	1	45.0	1
255	3	1	2.0	1.0	0	2	1.0	1	45.0	2
256	1	2	1.0	2.0	1	3	0.0	1	62.0	1
257	1	2	2.0	2.0	1	3	0.0	1	73.0	1
258	2	2	1.0	1.0	0	2	2.0	2	33.0	2
259	1	2	3.0	1.0	0	4	0.0	2	39.0	2
260	3	1		1.0	0	2	3.0	1	34.0	2
261	1	2	2.0	1.0	0	4	0.0	2	75.0	1
262	3	1	1.0	2.0	3	3	0.0	1	89.0	1
263	2	1	3.0	1.0	0	3	0.0	1	62.0	3
264	3	1	2.0	2.0	2	3	0.0	2	54.0	1
265	1	1	2.0	2.0	2	3	0.0	2	83.0	1
266	1	1	3.0	1.0	0	4	0.0	2	43.0	1
267	1	3	1.0	2.0	2	4	0.0	1	71.0	3
268	2	2	2.0	1.0	0	3	0.0	2	63.0	1
269	2	1	2.0	1.0	0	2	1.0	2	64.0	2
270	2	1	3.0	1.0	0	4	0.0	2	63.0	1
271	1	3	1.0	1.0	0	2	5.0	2	45.0	2
272	3	2	2.0	1.0	0	3	0.0	1	37.0	3
273	2	2	2.0	1.0	0	2	2.0	1	63.0	2
274	1	3	1.0	1.0	0	2	4.0	1	45.0	2
275	2	2	1.0	1.0	0	4	0.0	2	41.0	1
276	2	1	1.0	2.0	2	1	1.0	2	68.0	1
277	1	3	1.0	2.0	2	4	0.0	2	76.0	3
278	2	1	2.0	2.0	2	4	0.0	1	70.0	3
279	2	2	1.0	2.0	2	4	0.0	1	35.0	2
280	2	1	2.0	1.0	0	3	0.0	1	24.0	1
281	1	3	1.0	1.0	0	4	0.0	2	36.0	1
282	2	1	3.0	1.0	0	4	0.0	2	67.0	2
283	2	2	1.0	1.0	0	2	1.0	2	34.0	3
284	3	2	2.0	1.0	0	3	0.0	1	86.0	2
285	2	1	2.0	2.0	2	4	0.0	2	54.0	2
286	2	2	3.0	1.0	0	2	1.0	2	21.0	1
287	1	2	1.0	1.0	0	2	1.0	2	77.0	1
288	2	1	1.0	1.0	0	1	1.0	2	47.0	2
289	2	1	1.0		2	1	1.0	2	30.0	2
290	1	2	1.0	1.0	0	2	1.0	2	85.0	3
291	2	1	2.0	1.0	0	4	0.0	1	76.0	2
292	1	1	3.0	1.0	0	2	1.0	2	25.0	2
293	2	1	3.0	1.0	0	4		2	22.0	2
294	2	2	1.0	1.0	0	2	2.0	2	53.0	3
295	2	1	1.0	1.0	0	4	0.0	1	32.0	2
296	1	3	1.0	1.0	0	3	0.0	1	34.0	1
297	1	2	3.0	1.0	0	2	1.0	1	82.0	3
298	2	1	1.0	2.0	3	4	0.0	1	44.0	2
299	3	2	2.0	1.0	0	4	0.0	1	38.0	2
300	2	1	2.0	1.0	0	2	1.0	1	25.0	1
301	3	1	2.0	1.0	0	2	1.0	2	92.0	3
302	2	2	2.0	1.0	0	4	0.0	1	86.0	1
303	2	2	1.0	1.0	0	4	0.0	1	94.0	2
304	1	1	1.0	2.0	3	4	0.0	1	82.0	1
305	1	2	1.0	1.0	0	3	0.0	1	90.0	3
306	2	2	3.0	1.0	0	1	1.0	2	65.0	2
307	3	1	2.0		1	3	0.0	2	33.0	2
308	1	2	3.0	1.0	0	4	0.0	1	30.0	1
309	2	2	1.0	2.0	3	3	0.0	1	18.0	2
310	2	1	1.0	1.0	0	2	1.0	1	54.0	2
311	2	1	2.0	2.0	1	3	0.0	2	61.0	1
312	2	2	1.0		2	2	1.0	2	75.0	2
313	1	2	1.0	1.0	0	2	1.0	2	82.0	2
314	2	2	1.0	1.0	0	3	0.0	1	61.0	1
315	2	1	1.0	1.0	0	3	0.0	1	51.0	2
316	1	2	1.0		1	3	0.0	1	71.0	3
317	3	2	1.0	1.0	0	2	2.0	1	72.0	3
318	2	1	1.0	1.0	0	2	2.0	2	76.0	1
319	3	2	1.0	1.0	0	2	1.0	1	45.0	1
320	2	1	1.0	2.0	1	3	0.0	1	27.0	2
321	2	1	3.0	2.0	1	3		1	23.0	2
322	1	1	3.0		1	3	0.0	1	71.0	2
323	2	2	2.0	1.0	0	4	0.0	1		1
324	2	1	3.0	1.0	0	4	0.0	1	66.0	3
325	2	1	3.0	2.0	1	3	0.0	1	39.0	1
326	2	2	1.0	2.0	1	4	0.0	2	43.0	3
327	2	1		1.0	0	3	0.0	1	60.0	1
328	3	2	1.0	1.0	0	2	1.0	2	36.0	1
329	1	1	1.0	1.0	0	4	0.0	2	33.0	3
330	1	3	1.0	1.0	0	2	1.0	2	54.0	3
331	2	1	2.0	1.0	0	4	0.0	1	45.0	3
332	1	2	1.0	1.0	0	2	2.0	1	25.0	1
