;Region;Sport_Pratiqué;Temps_Entrainement_Heures;Masse_Musculaire_kg;Depense_Energetique_kcal;Nombre_Blessures;Motivation_Sport;Satisfaction_Sport;Competitions_Annuelles;Nombre_Trophees;Sponsor
243;4;Football;6;62,5;3054,5433;3;1;Moyenne;10;3;Adidas
33;1;Tennis;6;88,9;1486,990555;2;2;Très faible;10;3;Adidas
38;4;Athlétisme;6;81,5;3159,852999;0;2;Bonne;17;6;Adidas
40;1;;6;97,4;2013,409439;2;4;Excellente;7;4;Adidas
157;3;Tennis;6;75;2531,189702;2;4;Bonne;5;5;Sans sponsor
189;1;Football;6;86,3;1121,928731;0;4;Moyenne;17;1;Sans sponsor
202;4;Natation;6;63;1336,51971;4;3;Très faible;13;0;Sans sponsor
22;3;Athlétisme;6;97,7;2400,755715;1;1;Bonne;8;6;Puma
108;3;Tennis;6;62,5;3043,844246;2;2;Très faible;19;1;Puma
35;3;Natation;6;63;3492,130894;2;2;Faible;14;5;Sans sponsor
83;1;Athlétisme;6;97,3;2094,082367;0;3;Excellente;4;1;Sans sponsor
109;3;Natation;6;90,7;1686,292708;2;5;Bonne;3;3;Sans sponsor
221;4;Basketball;6;86;2574,729638;0;1;Moyenne;13;6;
54;1;Athlétisme;7;97,3;869,2942822;4;1;Faible;14;0;Adidas
82;3;Football;7;66;1915,975372;3;4;Moyenne;14;2;Adidas
90;4;Natation;7;99,8;821,1893297;2;4;Excellente;11;8;Adidas
110;1;Natation;7;92,2;783,2326403;0;1;Faible;9;8;Adidas
149;3;Basketball;7;93;2890,034529;3;4;Bonne;17;1;Adidas
187;1;Athlétisme;7;82,9;2994,13092;4;2;Faible;0;9;Adidas
21;2;Basketball;7;78,1;1706,299259;0;2;Très faible;13;2;Sans sponsor
67;1;Basketball;7;56,6;563,2261467;3;5;Excellente;3;1;Sans sponsor
95;1;Football;7;94,1;2029,269899;0;1;Faible;7;3;Sans sponsor
113;4;Athlétisme;7;90;1356,702694;4;5;Moyenne;13;1;Nike
170;3;Tennis;7;92;2904,657949;0;3;Très faible;12;4;Nike
173;2;Basketball;7;97,5;1894,218356;0;3;Très faible;9;5;Nike
3;4;Natation;7;63,5;1736,408551;3;3;Bonne;4;0;Puma
57;2;Tennis;7;69;534,5181615;0;4;Très faible;7;6;Puma
162;2;Football;7;91;1601,953831;0;4;Très faible;5;3;Puma
172;4;Football;7;;1758,799793;3;2;Excellente;16;4;Puma
242;4;Football;7;88,5;1200,927521;3;4;Faible;;9;Puma
80;2;Tennis;7;86;1122,837374;0;5;Très faible;8;6;Sans sponsor
153;1;Football;7;92,4;2180,40932;3;4;Excellente;13;6;Sans sponsor
163;3;Athlétisme;7;75;1650,721082;1;2;Moyenne;16;5;Sans sponsor
215;1;Natation;7;68,2;2937,522219;4;5;Bonne;17;1;Sans sponsor
236;2;Basketball;7;85,9;2712,054405;1;4;Moyenne;11;7;Sans sponsor
50;2;Tennis;8;79,2;2770,714575;2;1;Très faible;6;4;Adidas
51;1;Tennis;8;48,1;1797,933446;3;4;Excellente;16;1;Adidas
65;3;Basketball;8;94;2001,479176;0;2;Moyenne;12;5;Adidas
77;1;Football;8;85,3;1663,759484;0;3;Très faible;2;0;Adidas
143;4;Tennis;8;72,5;1194,772677;3;4;Excellente;6;2;Adidas
159;4;Football;8;54,7;690,0777953;4;3;Très faible;18;6;Adidas
190;3;Natation;8;78,7;566,4573441;4;4;Faible;3;2;Adidas
193;4;Tennis;8;73,7;2139,870131;2;2;Moyenne;16;2;Adidas
228;4;Basketball;8;78;1378,898623;3;4;Faible;7;2;Adidas
232;2;Football;8;67,7;993,0177811;2;1;Faible;15;0;Adidas
7;3;Natation;8;82;3469,945805;4;5;Très faible;5;3;Nike
48;2;Athlétisme;8;45,9;2442,264598;4;1;Moyenne;16;1;Nike
68;4;Basketball;8;94;1123,198972;4;1;Bonne;14;9;Nike
169;3;Football;8;62,5;1741,785386;4;3;Très faible;10;6;Nike
230;3;Tennis;8;81,2;3042,106203;0;1;Moyenne;9;8;Nike
233;3;Tennis;8;82,4;1977,65855;0;1;Bonne;9;2;Nike
63;2;Athlétisme;8;95,2;3144,8599;0;3;Bonne;10;2;Puma
98;2;Basketball;8;98,5;771,1537119;1;1;Très faible;3;1;Puma
125;1;Football;8;60,6;3466,056056;0;1;Excellente;3;1;Puma
161;2;Natation;8;94,3;3228,86779;2;4;Excellente;12;4;Puma
107;2;Natation;2;61,8;1322,878282;0;2;Moyenne;8;4;Sans sponsor
154;1;Football;2;50,2;2429,621258;4;3;Excellente;18;5;Sans sponsor
184;1;Basketball;2;87;1504,107529;4;3;Très faible;8;3;Sans sponsor
245;4;Natation;3;68,4;2800,044131;3;2;Bonne;17;2;Sans sponsor
197;4;Natation;9;90,7;3109,14848;3;5;Moyenne;12;9;Adidas
207;2;Athlétisme;9;65;562,0023074;3;2;Faible;16;1;Adidas
4;4;Athlétisme;9;91,5;3133,300558;3;4;Bonne;4;2;Adidas
16;2;Basketball;9;101,8;1749,868655;1;;Excellente;17;8;Adidas
8;1;Natation;9;88,7;1173,651551;3;3;Moyenne;14;7;Adidas
10;3;Athlétisme;9;77,3;2539,345171;3;5;Faible;16;9;Adidas
12;3;Natation;9;47,7;1376,86619;4;4;Faible;7;4;Adidas
78;2;Tennis;9;81,6;2179,157192;3;4;Excellente;6;2;Puma
100;4;Football;9;61;1129,682458;3;2;Moyenne;9;2;Puma
142;2;Athlétisme;9;65,5;2479,809192;1;5;Faible;13;4;Puma
166;4;Basketball;9;45,8;3084,243928;4;2;Excellente;19;6;Puma
210;2;Tennis;9;85,7;2173,594715;4;3;Très faible;3;1;Puma
229;3;Natation;9;76;1665,560006;2;3;Très faible;13;7;Puma
46;2;Football;9;58,1;2512,656593;2;3;Très faible;18;6;Sans sponsor
112;2;Natation;3;70,8;2485,724689;2;2;Excellente;16;3;Sans sponsor
140;2;Athlétisme;3;70,3;2720,481347;0;2;Moyenne;7;6;Sans sponsor
158;4;Athlétisme;9;73,8;1747,715444;3;5;Faible;4;3;Sans sponsor
164;3;Football;;77,4;2978,444867;3;5;Très faible;4;0;Sans sponsor
185;4;Basketball;2,5;83,8;1315,096779;1;5;Faible;15;6;Sans sponsor
24;3;Football;10;76,5;3027,849569;2;1;Bonne;17;7;Adidas
29;2;Tennis;10;63,4;2307,488868;0;5;Bonne;7;1;Adidas
76;4;Basketball;10;71,2;2726,0998;0;2;Bonne;5;4;Adidas
106;4;Athlétisme;10;71;1393,889992;2;4;Excellente;12;7;Adidas
129;3;Athlétisme;10;72,3;2735,756515;0;1;Moyenne;4;2;Adidas
135;1;Natation;10;55,8;880,1112508;2;3;Excellente;13;6;Adidas
226;2;Football;10;93,7;1034,687688;3;1;Excellente;9;6;Adidas
32;4;Tennis;10;47,4;1768,958489;0;3;Moyenne;4;1;Nike
56;4;Football;10;;552,8370269;1;4;Moyenne;12;3;Puma
93;4;Natation;10;60,9;1126,30973;1;4;Moyenne;5;0;Puma
132;4;Athlétisme;10;82,5;3443,447679;1;4;Faible;6;4;Puma
155;1;Natation;10;47,2;1212,01156;0;1;Faible;12;6;Puma
167;4;Tennis;10;97,7;1140,840933;0;2;Faible;16;9;Puma
138;4;Basketball;3;62,8;506,4301098;2;5;Faible;19;3;Sans sponsor
156;3;Football;2;80;2083,78691;0;5;Très faible;11;4;Sans sponsor
237;4;Football;2;86;1755,394559;4;5;Bonne;8;0;Sans sponsor
61;3;Basketball;11;52,6;2558,158305;3;5;Moyenne;6;6;Adidas
196;4;Natation;11;70,7;1504,547732;4;2;Moyenne;16;5;Adidas
213;1;Natation;11;74,5;2730,00927;3;4;Très faible;6;4;Adidas
238;4;Tennis;11;59,9;2431,822927;3;3;Très faible;12;4;Adidas
25;4;Football;11;97,8;1117,005493;2;2;Très faible;9;5;Nike
92;3;Football;11;67,8;2062,638164;2;2;Moyenne;8;2;Nike
146;1;Tennis;11;93;;3;4;Très faible;19;3;Nike
151;3;Football;11;83,5;1679,196243;0;3;Bonne;18;3;Nike
13;2;Athlétisme;11;87;3001,993793;2;2;Moyenne;8;8;Puma
30;4;Tennis;11;56,7;2618,880605;0;3;Excellente;12;0;Puma
53;3;Tennis;11;74;779,6890524;2;2;Bonne;8;8;Puma
60;4;Basketball;11;67,5;1902,34553;2;5;Moyenne;13;1;Puma
69;4;Tennis;11;89,6;3332,739431;2;2;Moyenne;19;0;Puma
74;4;Basketball;11;89;2967,925326;2;1;Moyenne;12;7;Puma
111;2;Football;11;64;1848,069451;2;1;Faible;11;3;Puma
124;3;Natation;11;95,8;864,2342828;2;4;Bonne;14;1;Puma
52;2;Tennis;6,5;66,4;3147,39533;0;4;Bonne;11;8;Sans sponsor
131;4;Natation;7;81,9;1815,500408;1;2;Bonne;7;2;Sans sponsor
136;4;Natation;6,5;51,3;651,9497542;4;5;Bonne;3;0;Sans sponsor
168;3;Natation;7;65;2295,931449;0;5;Bonne;14;7;Sans sponsor
191;3;Basketball;7;81,8;2899,963578;2;4;Moyenne;12;1;Sans sponsor
14;1;Basketball;12;85;1080,318677;1;4;Excellente;6;1;Adidas
44;4;Basketball;12;78,9;1038,030946;4;2;Excellente;19;3;Adidas
64;1;Basketball;12;55,2;846,9271732;4;1;Excellente;10;5;Adidas
123;4;Athlétisme;12;80;1253,766637;2;2;Bonne;8;3;Adidas
128;3;Tennis;12;53;2480,086663;4;5;Moyenne;6;2;Adidas
165;3;Natation;12;63;2392,134589;2;5;Excellente;17;9;Adidas
205;3;Tennis;12;74;1996,309954;4;4;Faible;8;4;Adidas
17;3;Tennis;12;76,1;3266,125881;1;5;Faible;6;2;Nike
150;3;Tennis;12;88;2455,215973;0;2;Bonne;18;4;Nike
225;3;Football;12;91,5;1165,369291;1;2;Excellente;11;0;Nike
81;1;Athlétisme;12;97,5;2559,38251;2;3;Faible;11;4;Puma
87;3;Football;12;72,8;1334,416987;4;2;Très faible;15;3;Puma
130;4;Athlétisme;12;73;3368,237194;0;5;Bonne;8;5;Puma
39;3;Football;12;84;994,9970147;0;4;Faible;8;0;Sans sponsor
121;4;Basketball;12;71,8;2550,731388;4;4;Excellente;18;1;Sans sponsor
34;4;Football;13;56,2;3275,198322;1;1;Faible;9;5;Adidas
102;1;Football;13;81,7;1901,12439;2;2;Excellente;6;5;Adidas
103;2;Tennis;13;100;2284,17511;1;3;Très faible;8;1;Adidas
216;1;Natation;13;74,4;2336,639458;1;1;Excellente;7;2;Adidas
11;3;Tennis;13;92;;2;1;Moyenne;7;3;Nike
41;2;Tennis;13;56;2594,87293;3;2;Faible;13;5;Nike
209;2;Tennis;13;87;2235,809565;3;3;Très faible;9;4;Nike
224;3;Tennis;13;84;3320,208909;4;5;Très faible;4;3;Nike
247;1;Tennis;13;84,3;1405,732454;3;1;Bonne;6;2;Nike
1;3;Tennis;13;86;2964,539592;2;4;Bonne;18;1;Puma
2;4;Athlétisme;13;63;644,4672234;3;4;Faible;10;5;Puma
62;3;Tennis;13;92,8;3110,702455;0;4;Très faible;11;5;Puma
89;2;Tennis;13;47,2;3097,335741;2;1;Faible;9;0;Puma
160;1;Natation;13;64,2;2307,446917;1;5;Moyenne;15;1;Puma
195;4;Tennis;13;51,5;783,0641347;2;5;Bonne;5;3;Puma
218;2;Tennis;13;54,3;1235,473041;0;5;Très faible;7;3;Puma
26;4;Natation;2,5;57,2;1805,30985;1;1;Faible;4;3;Sans sponsor
28;4;Basketball;1,5;51,2;2686,122189;2;2;Moyenne;7;7;Sans sponsor
37;2;Natation;2,5;72,6;2725,264911;3;2;Faible;7;7;Sans sponsor
79;4;Tennis;7,5;66,9;1425,333139;4;4;Faible;18;3;Sans sponsor
241;3;Natation;5,5;72,6;2794,052801;3;5;Faible;;7;Sans sponsor
171;2;Football;3,5;64,1;1942,655177;1;1;Moyenne;0;0;
31;3;Natation;7;85,7;1359,343486;3;5;Moyenne;15;8;Adidas
59;1;Tennis;;69,8;2083,116128;2;4;Bonne;7;3;Adidas
235;4;Football;7;75,5;551,0526824;4;2;Faible;5;2;Adidas
18;4;Athlétisme;7;85;2378,151164;3;1;Bonne;16;0;Nike
19;4;Football;14;80;1851,140329;4;3;Moyenne;7;3;Nike
84;1;Athlétisme;14;57,7;1069,522056;1;1;Très faible;14;1;Nike
91;3;Natation;14;76,9;1390,423845;1;3;Moyenne;4;1;Nike
94;3;Natation;14;98,8;1212,660514;2;1;Moyenne;3;0;Nike
104;3;Basketball;14;78;1195,116038;4;4;Très faible;8;4;Nike
122;2;Tennis;14;77,1;1846,940163;2;2;Excellente;9;4;Nike
134;1;Athlétisme;14;79,1;1476,135441;0;1;Moyenne;5;2;Nike
178;1;Football;14;82,4;2463,324609;3;1;Très faible;14;4;Nike
211;2;Natation;14;63,3;2783,773147;0;2;Bonne;9;5;Nike
223;3;Natation;14;89,2;1141,246676;2;3;Excellente;19;2;Nike
240;3;Athlétisme;14;66,9;723,8365177;0;4;Moyenne;10;4;Nike
204;1;Football;14;92,1;1376,440597;1;1;Moyenne;8;4;Puma
96;1;Natation;14;56,1;2017,408611;3;1;Bonne;2;0;
127;1;;14;92;1467,360815;3;3;Moyenne;9;8;Sans sponsor
199;3;Athlétisme;14;85,5;2000,014524;1;1;Bonne;18;9;Sans sponsor
141;3;Football;15;88;565,796079;1;2;Bonne;3;0;Adidas
208;1;Natation;15;51,3;1474,27069;3;1;Excellente;9;0;Adidas
234;4;Tennis;15;81,8;2476,756489;2;1;Très faible;12;7;Adidas
43;4;Tennis;15;65;2866,987907;4;2;Très faible;19;1;Nike
174;2;Tennis;15;63;2000,861395;2;4;Excellente;3;1;Nike
47;3;Basketball;15;53,5;921,8678411;0;4;Très faible;13;1;Puma
117;2;Basketball;15;66,3;3193,335214;2;3;Bonne;10;2;Puma
133;2;Tennis;15;57,3;1305,483191;3;3;Moyenne;9;8;Puma
212;3;Tennis;15;78;540,3775467;2;4;Très faible;7;3;Puma
15;2;Tennis;;78;2784,783189;1;2;Bonne;14;9;Puma
115;2;Football;;73;1978,979214;1;1;Très faible;1;1;Sans sponsor
